"Event ID","Event Name","Category","Topic","Code","Attendees","Waitlisted","Starts On","Status","Ends On",
"16798","Gyrokinesis® Sit Down & Shape Up! (Ages 16 & Up) — Tuesdays, July 8-August 5, 2025. 10:30-11:30 am","Fitness & Movement Classes","Jacquie Farbman","","11","0","07/22/2025","ACTIVE","07/22/2025",
"16651","Honk Jr - Youth Theatre (Ages 8-12) July 7 - August 1, 2025. Mon-Fri 9am-12pm","Theater/Acting Classes ","Maureen Cossey","","20","0","07/21/2025","ACTIVE","07/25/2025",
"16718","Children's Theatre (Ages 5-7), Session 2: July 21 - August 1 2025. Mon-Fri 9am-12pm","Children's Theater","Shawna Martinez","","3","0","07/21/2025","ACTIVE","07/25/2025",
"16646","Beetlejuice JR. - Teen Theatre (Ages 13-18). July 7 - July 25, 2025. Mon-Fri 1-4pm","Theater/Acting Classes ","Maureen Cossey","","25","0","07/21/2025","ACTIVE","07/25/2025",
"16703","Afternoon Arts - Week 3  July 21 - 25, 2025 Mon-Fri, 12pm - 4pm *Class is Full*","Children's Art Classes","Shawna Martinez","","16","0","07/21/2025","ACTIVE","07/25/2025",
"16713","Children's Theatre (Ages 5-7), Session 1: July 7 - 18, 2025. Mon-Fri 9am-12pm","Children's Theater","Shawna Martinez","","8","0","07/14/2025","ACTIVE","07/18/2025",
"16698","Afternoon Arts - Week 2  July 14 - 18, 2025 Mon-Fri, 12pm - 4pm *Class is Full*","Children's Art Classes","Shawna Martinez","","15","0","07/14/2025","ACTIVE","07/18/2025",
"16673","Music From Salem  Summer Concert - Sunday, July 13th at 4:00pm","Music from Salem Performances","","","76","0","07/13/2025","ACTIVE","07/13/2025",
"17334","Art of the Garden Tour - Saturday, July 12th, 2025 10am-2pm","Community Events","","","0","0","07/12/2025","INACTIVE","07/12/2025",
"17329","Art of the Garden Tour - Friday - July 11th, 2025 4pm-7pm","Community Events","","","0","0","07/11/2025","INACTIVE","07/11/2025",
"16778","Discover Your Strength with Emily—Wednesdays, July 9-30, 2025—5:30–6:15 pm*Cancelled*","Fitness & Movement Classes","Emily Cushing","","0","0","07/09/2025","INACTIVE","07/09/2025",
"16788","Improv Basics (Ages 18 and Up) Tuesdays, July 8-August 26, 2025—6:00-7:30 pm*Cancelled*","Theater/Acting Classes ","Sasha Winters","","0","0","07/08/2025","INACTIVE","07/08/2025",
"16793","Phoenix Martial Arts (All Ages) Mondays, July 7-21, 2025—6:00-7:00 pm*Cancelled*","Martial Arts ","Sensei Tammy Lewis","","0","0","07/07/2025","INACTIVE","07/07/2025",
"16783","Improv Comedy Workshop for Teens (Ages 13-18) Mon & Wed, July 7-23, 2025—6:00-8:00 pm*Cancelled*","Theater/Acting Classes ","David Braucher","","0","0","07/07/2025","INACTIVE","07/07/2025",
"16693","Afternoon Arts - Week 1  July 7 - 11, 2025 Mon-Fri, 12pm - 4pm *Class Full*","Children's Art Classes","Shawna Martinez","","15","0","07/07/2025","INACTIVE","07/11/2025",
"16728","Community Dance Party- Saturday, June 28, 2025 at 7pm","Community Events","","","0","0","06/28/2025","INACTIVE","06/28/2025",
"15914","International Yoga Day/Yoga Class (Ages 16 and up)—Saturday, June 21, 2025—8:30–9:15 am","Pilates/Yoga","Jenette Wilkinson ","","6","0","06/21/2025","INACTIVE","06/21/2025",
"17323","FREE - Public Reading  - MERCEDES Artist Residency - June 19, 2025 at 5:00 pm","Film Screenings","","","13","0","06/19/2025","INACTIVE","06/19/2025",
"16823","Year-End Dance Showcase 2025 - Saturday, June 14 at 6:00 pm","Dance Performances","","","0","0","06/14/2025","INACTIVE","06/14/2025",
"15949","Jazz II (Ages 8 and up) Tuesdays, February 11-June 10, 2025—6:15-7:00 pm","Dance Classes - Contemporary","Lauren Herrington","","6","0","06/10/2025","INACTIVE","06/10/2025",
"15944","Jazz I (Ages 8 and up) Tuesdays, February 11-June 10, 2025—5:30-6:15 pm","Dance Classes - Contemporary","Lauren Herrington","","13","0","06/10/2025","INACTIVE","06/10/2025",
"15979","Teen/Adult Hip Hop (Ages 13 and up) Mondays, February 10-June 9, 2025—5:30-6:30 pm","Hip Hop ","Sarah Wood ","","3","0","06/09/2025","INACTIVE","06/09/2025",
"15969","Little Hip Hop (Ages 5-7) Mondays, February 10-June 9, 2025—3:45-4:30 pm","Hip Hop ","Sarah Wood ","","9","0","06/09/2025","INACTIVE","06/09/2025",
"15974","Hip Hop 1 (Ages 8-12) Mondays, February 10-June 9, 2025—4:30-5:30 pm","Hip Hop ","Sarah Wood ","","8","0","06/09/2025","INACTIVE","06/09/2025",
"16668","Music From Salem Viola & Violin Seminar Concert - Sunday, June 8, 2025 at 4:00pm","Music from Salem Performances","","","28","0","06/08/2025","INACTIVE","06/08/2025",
"16019","Tap 1 (Ages 6 and up) Saturdays, February 8-June 7, 2025—9:45-10:30 am","Tap Dance","Lindsay Shaner","","9","0","06/07/2025","INACTIVE","06/07/2025",
"16803","Starla & the Stone Angel: A Supernatural Showcase- Saturday, June 7, 2025 at 7:30pm","Theater Performances","","","22","0","06/07/2025","INACTIVE","06/07/2025",
"16014","Pre-Ballet (Ages 3-4) Saturdays, February 8-June 7, 2025—9:00-9:45 am","Ballet","Lindsay Shaner","","13","0","06/07/2025","INACTIVE","06/07/2025",
"16723","Starla & the Stone Angel: A Supernatural Showcase- Friday, June 6, 2025 at 7:30pm","Theater Performances","","","37","0","06/06/2025","INACTIVE","06/06/2025",
"16004","Intermediate Irish Dance Level 2—Fridays, February 7-June 6, 2025—6:00-7:00 pm","Irish Step Dance","Rachel Sargood","","9","0","06/06/2025","INACTIVE","06/06/2025",
"15999","Intermediate Irish Dance Level 1—Fridays, February 7-June 6, 2025—5:00-6:00 pm","Irish Step Dance","Rachel Sargood","","6","0","06/06/2025","INACTIVE","06/06/2025",
"16009","Advanced Irish Dance—Fridays, February 7-June 6, 2025—7:00-8:00 pm","Irish Step Dance","Rachel Sargood","","3","0","06/06/2025","INACTIVE","06/06/2025",
"15994","Advanced Beginner Irish Dance—Fridays, February 7-June 6, 2025—4:00-5:00 pm","Irish Step Dance","Rachel Sargood","","11","0","06/06/2025","INACTIVE","06/06/2025",
"16024","Intro to Ballet (Ages 5-6) Thursdays, February 6-June 5, 2025—4:15-5:00 pm*Class is Full*","Ballet","Lindsay Shaner","","17","0","06/05/2025","INACTIVE","06/05/2025",
"15934","Beginner Irish Step Dance (Ages 7 and up) Thursdays, February 6-June 5, 2025—6:00-7:00 pm","Irish Step Dance","Isabella Knecht","","9","0","06/05/2025","INACTIVE","06/05/2025",
"16034","Ballet 2 (Ages 7 and up) Thursdays, February 6-June 5, 2025—5:00-6:00 pm","Ballet","Lindsay Shaner","","7","0","06/05/2025","INACTIVE","06/05/2025",
"16039","Ballet 3 (Ages 7 and up) Wednesdays, February 5-June 4, 2025—4:45-5:45 pm","Ballet","Lindsay Shaner","","6","0","06/04/2025","INACTIVE","06/04/2025",
"15964","Adult Drawing with Darcy (Ages 15 and up) Wednesdays, February 5-June 4, 2025—6:00-7:00 pm","Visual Arts ","Darcy May","","16","0","06/04/2025","INACTIVE","06/04/2025",
"15954","Drawing With Darcy (Ages 9-14) Tuesdays, February 4-June 3, 2025—5:00-6:00 pm","Visual Arts ","Darcy May","","7","0","06/03/2025","INACTIVE","06/03/2025",
"15959","Continuing Drawing With Darcy (Ages 9-14) Tuesdays, February 4-June 3, 2025—6:30-7:30 pm","Visual Arts ","Darcy May","","6","0","06/03/2025","INACTIVE","06/03/2025",
"16029","Ballet 1 (Ages 7 and up) Tuesdays, February 4- June 3, 2025—4:15-5:15 pm","Ballet","Lindsay Shaner","","5","0","06/03/2025","INACTIVE","06/03/2025",
"16663","Music From Salem- Cello Seminar Concert - Saturday, May 31st, 2025 at 4:00pm","Music from Salem Performances","","","59","0","05/31/2025","INACTIVE","05/31/2025",
"15989","Discover Your Strength with Emily—Wednesdays, February 5-May 21, 2025—5:30–6:15 pm","Fitness & Movement Classes","Emily Cushing","","22","0","05/21/2025","INACTIVE","05/21/2025",
"16743","2025 Hubbard Hall Spring Gala: A New Beginning - Saturday, May 17th, at 6pm (VIP Tour at 5pm)","Fundraising Events","","","72","0","05/17/2025","INACTIVE","05/17/2025",
"15929","Core & More—Mat Pilates (Ages 16 and up) Saturdays, February 8-May 10, 2025—8:30-9:15 am","Pilates/Yoga","Jenette Wilkinson ","","16","0","05/10/2025","INACTIVE","05/10/2025",
"15924","Rise & Shine Morning Yoga (Ages 16 and up) Thursdays, February 6-May 8, 2025—8:00-8:45 am","Pilates/Yoga","Jenette Wilkinson ","","31","0","05/08/2025","INACTIVE","05/08/2025",
"15919","Yin Yoga (Ages 16 and up) Mondays, February 3-May 5, 2025—5:30-6:30 pm","Pilates/Yoga","Jenette Wilkinson ","","10","0","05/05/2025","INACTIVE","05/05/2025",
"16076","Bollywood Dance for Performance (Ages 16+)—Mondays, March 24–May 5, 2025—7:00–8:00 pm","Bollywood & BollyX","Gina Mammone Deibel","","10","0","05/05/2025","INACTIVE","05/05/2025",
"16091","Music From Salem Spring Concert - Sunday, April 27, 2025 at 4:00 pm","Music from Salem Performances","","","63","0","04/27/2025","INACTIVE","04/27/2025",
"16049","Vocal Basics with Maureen Cossey (Ages 13 and up)—Mondays, Feb 3-April 7, 2025—5:45-7:00 pm","Music Classes","Maureen Cossey","","13","0","04/14/2025","INACTIVE","04/14/2025",
"16136","Dancing at Lughnasa – Sunday April 13 at 2PM","Theater Performances","","","63","0","04/13/2025","INACTIVE","04/13/2025",
"16131","Dancing at Lughnasa – Saturday April 12 at 7:30PM","Theater Performances","","","74","0","04/12/2025","INACTIVE","04/12/2025",
"16126","Dancing at Lughnasa – Friday April 11 at 7:30PM","Theater Performances","","","47","0","04/11/2025","INACTIVE","04/11/2025",
"16121","Dancing at Lughnasa – Sunday April 6 at 2PM","Theater Performances","","","81","0","04/06/2025","INACTIVE","04/06/2025",
"16116","Dancing at Lughnasa – Saturday April 5 at 7:30PM","Theater Performances","","","37","0","04/05/2025","INACTIVE","04/05/2025",
"16111","Dancing at Lughnasa – Friday April 4 at 7:30PM","Theater Performances","","","30","0","04/04/2025","INACTIVE","04/04/2025",
"16141","Bread & Puppet Theater– Sunday March 30th, 2025 at 5PM**SOLD OUT**","Theater Performances","","","133","0","03/30/2025","INACTIVE","03/30/2025",
"16086","Puppet Club (Ages 9+)—Saturdays, March 8-29, 2025—10:00 am-12:00 pm","Visual Arts ","Gabi Moore","","9","0","03/29/2025","INACTIVE","03/29/2025",
"16061","Restorative Yoga & Massage Workshop (Ages 16+)—Saturday, March 22, 2025—5:00–6:30 pm","Pilates/Yoga","Jenette Wilkinson ","","9","0","03/22/2025","INACTIVE","03/22/2025",
"16071","Maple Ridge Cabaret  - Friday, March 14, 2025 at 7:00 pm**SOLD OUT**","Music Performances","","","107","0","03/14/2025","INACTIVE","03/14/2025",
"16688","Annual Irish Dance Ceili - Thursday, March 13, 2025, 6:00 - 8:00 pm","Dance Performances","","","0","0","03/13/2025","INACTIVE","03/13/2025",
"15904","Tom DiMenna- Story Songs of the 70's - Saturday, March 8, 2025 at 7pm","Music Performances","","","69","0","03/08/2025","INACTIVE","03/08/2025",
"16054","The Actor’s Toolbelt—Saturdays, March 8-May 17, 2025—11:00 am-12:30 pm *Canceled","Theater/Acting Classes ","David Skeele","","0","0","03/08/2025","INACTIVE","03/08/2025",
"15899","Alla Boara - Italian folk-jazz Concert - Thursday, February 27, 2025 at 7pm","Music Performances","","","36","0","02/27/2025","INACTIVE","02/28/2025",
"15984","Gentle Movement & Dance for Adults—Tuesdays, February 25-April 8, 2025—4:45-5:30 pm *Cancelled","Dance Classes - Contemporary","Terry Dansin","","0","0","02/25/2025","INACTIVE","02/25/2025",
"16656","Music From Salem Winter Concert - Sunday, February 23, 2025 at 3:30pm","Music from Salem Performances","","","28","0","02/23/2025","INACTIVE","02/23/2025",
"17273","FREE - Documentary Screening  - Artist Residency -December 19, 2024 at 6:00 pm","Film Screenings","","","0","0","02/20/2025","INACTIVE","02/20/2025",
"16081","Tai Ji & Qi Gong, Beginner (All Ages)—Wednesdays, February 5–May 7, 2025—9:00–10:00 am *Canceled","Martial Arts ","Scott Carrino","","0","0","02/19/2025","INACTIVE","02/19/2025",
"16066","CANCELLED- CRFT Showcase Fundraiser- Sunday, Feburary 16, 2025 at 2pm","Fundraising Events","","","0","0","02/16/2025","INACTIVE","02/16/2025",
"17223","FREE - Documentary Screening  - Artist Residency -December 19, 2024 at 6:00 pm","Film Screenings","","","0","0","02/13/2025","INACTIVE","02/13/2025",
"15939","Mother-Daughter Irish Dance (Ages 7 and up) Thursdays, February 6-June 5, 2025—7:00-7:30pm*Cancelled","Irish Step Dance","Isabella Knecht","","0","0","02/06/2025","INACTIVE","02/06/2025",
"17173","FREE - Documentary Screening  - Artist Residency -December 19, 2024 at 6:00 pm","Film Screenings","","","0","0","02/06/2025","INACTIVE","02/06/2025",
"16044","Early Childhood Music (Ages Birth-5 w/ Caregiver) Thurs, Feb. 6-Apr 17, 2025, 9:30-10:15 am*Canceled","Music Classes","Carolyn Exler","","0","0","02/06/2025","INACTIVE","02/06/2025",
"15819","Continuing Bollywood  (Ages 16+)—Mondays, January 6–February 3, 2025—6:00–7:30 pm","Bollywood & BollyX","Gina Mammone Deibel","","9","0","02/03/2025","INACTIVE","02/03/2025",
"15814","Bollywood Basics (Ages 16+)—Mondays, January 6–February 3, 2025—6:00–6:45 pm","Bollywood & BollyX","Gina Mammone Deibel","","9","0","02/03/2025","INACTIVE","02/03/2025",
"15874","Adventures in 2 Dimension (Ages 9+)—Fridays, January 24 & 31, 2025—5:30–700 pm","Visual Arts ","Gabi Moore","","5","0","01/31/2025","INACTIVE","01/31/2025",
"15884","Winter Sketchbook (Ages 9+)—Tuesdays, Jan 14, 21, 28 & Thursdays, Jan 16, 23, 30, 2025—5:30–7:00 pm","Visual Arts ","Darcy May","","4","0","01/30/2025","INACTIVE","01/30/2025",
"15839","Rise & Shine Morning Yoga (Ages 16+)—Thursdays, January 9–30, 2025—8:00–8:45 am","Pilates/Yoga","Jenette Wilkinson ","","13","0","01/30/2025","INACTIVE","01/30/2025",
"17123","FREE - Documentary Screening  - Artist Residency -December 19, 2024 at 6:00 pm","Film Screenings","","","0","0","01/30/2025","INACTIVE","01/30/2025",
"15834","Tai Ji & Qi Gong, Beginner (All Ages)—Wednesdays, January 8–29, 2025—9:00–10:00 am","Martial Arts ","Scott Carrino","","11","0","01/29/2025","INACTIVE","01/29/2025",
"15849","Discover Your Strength with Emily (Ages 16+)—Wednesdays, January 8–29, 2025—5:30–6:15 pm","Fitness & Movement Classes","Emily Cushing","","15","0","01/29/2025","INACTIVE","01/29/2025",
"15809","Gentle Movement & Dance for Adults (Ages 16+)—Tuesday, January 28, 2025—5:30–6:15 pm *Canceled","Dance Classes - Contemporary","Terry Dansin","","0","0","01/28/2025","INACTIVE","01/28/2025",
"15779","Beginner Tap (Ages 6+)—Tuesdays, January 7–28, 2025—4:15–5:00 pm","Tap Dance","Lindsay Shaner","","3","0","01/28/2025","INACTIVE","01/28/2025",
"15799","Food for Wellness: Benefits of Seasonal Eating—Saturday, January 25, 2025—10:30–11:30 am *Cancelled","Wellness","Zaidee Bliss","","0","0","01/25/2025","INACTIVE","01/25/2025",
"15824","Core + Calm, Pilates & Yoga Fusion (Ages 16+)—Saturdays, January 4–25, 2025—8:30–9:15 am","Pilates/Yoga","Jenette Wilkinson ","","8","0","01/25/2025","INACTIVE","01/25/2025",
"17073","FREE - Documentary Screening  - Artist Residency -December 19, 2024 at 6:00 pm","Film Screenings","","","0","0","01/23/2025","INACTIVE","01/23/2025",
"15789","Food for Wellness: A Healthy Food Salon (All Ages)—Saturday, January 18, 2025—10:30–11:30 am","Wellness","Bliss McIntosh","","2","0","01/18/2025","INACTIVE","01/18/2025",
"15879","Slip Into Watercolor (Ages 9+)—Fridays, January 10 & 17, 2025—5:30–700 pm","Visual Arts ","Gabi Moore","","9","0","01/17/2025","INACTIVE","01/17/2025",
"17023","FREE - Documentary Screening  - Artist Residency -December 19, 2024 at 6:00 pm","Film Screenings","","","0","0","01/16/2025","INACTIVE","01/16/2025",
"15844","Restorative Yoga & Massage Workshop (Ages 16+)—Saturday, January 11, 2025—5:00–6:30 pm*Class is Full","Pilates/Yoga","Jenette Wilkinson ","","10","0","01/11/2025","INACTIVE","01/11/2025",
"15794","Food for Wellness: Creating Whole Body Balance (All Ages)—Saturday, January 11, 2025—10:30–11:30 am","Wellness","Shannon Woodcock","","5","0","01/11/2025","INACTIVE","01/11/2025",
"15804","Nervous System Reset (Ages 16+)—Thursdays, January 9–30, 2025—6:00–7:00 pm-CANCELLED","Wellness","Amber Lohret","","0","0","01/09/2025","INACTIVE","01/09/2025",
"16973","FREE - Documentary Screening  - Artist Residency -December 19, 2024 at 6:00 pm","Film Screenings","","","0","0","01/09/2025","INACTIVE","01/09/2025",
"15829","CANCELLED! Yin & Restorative Yoga (Ages 16+)—Mondays, January 6–27, 2025—5:30–6:15 pm","Pilates/Yoga","Jenette Wilkinson ","","0","0","01/06/2025","INACTIVE","01/06/2025",
"15889","Hygge How-To (All Ages)—Sunday, January 5, 2025—1:00–3:00 pm*Cancelled*","Wellness","Casey Face","","0","0","01/05/2025","INACTIVE","01/05/2025",
"15894","CANCELLED! S T R E T C H  Class (Ages 16+)—Sundays, January 5–26, 2025—4:30–5:15 pm","Pilates/Yoga","Jenette Wilkinson ","","0","0","01/05/2025","INACTIVE","01/05/2025",
"15784","CANCELLED! Food for Wellness: Enjoying a Low Acid Diet—Sat., January 4, 2025—10:30–11:30 am","Wellness","Bliss McIntosh","","0","0","01/04/2025","INACTIVE","01/04/2025",
"15869","CANCELLED—Try It! Beaded & Embroidered Bookmark (Ages 5+)—Sat., January 4, 2025—11:00 am–12:30 pm","Visual Arts - Crafts","Megan Stacey ","","0","0","01/04/2025","INACTIVE","01/04/2025",
"15864","CANCELLED—Try It! Aromatherapy Eye Pillows (Ages 5+)—Saturday, January 4, 2025—9:00 am–10:30 am","Visual Arts - Crafts","Megan Stacey ","","0","0","01/04/2025","INACTIVE","01/04/2025",
"16923","FREE - Documentary Screening  - Artist Residency -December 19, 2024 at 6:00 pm","Film Screenings","","","0","0","01/02/2025","INACTIVE","01/02/2025",
"16873","FREE - Documentary Screening  - Artist Residency -December 19, 2024 at 6:00 pm","Film Screenings","","","0","0","12/26/2024","INACTIVE","12/26/2024",
"15774","Winter Solstice Yoga Class (Ages 16+)—Saturday, December 21, 2024—8:30–9:15 am","Pilates/Yoga","Jenette Wilkinson ","","7","0","12/21/2024","INACTIVE","12/21/2024",
"15854","Try It! Embroidered Nordic Felt Ornament (Ages 5+)—Saturday, December 21, 2024—9:00–10:30 am","Visual Arts - Crafts","Megan Stacey ","","5","0","12/21/2024","INACTIVE","12/21/2024",
"15859","Cancelled—Try It! Macrame Holiday Garland (Ages 5+)—Saturday, December 21, 2024—11:00 am–12:30 pm","Visual Arts - Crafts","Megan Stacey ","","0","0","12/21/2024","INACTIVE","12/21/2024",
"15607","Intermediate Irish Dance Level 2, Fridays, September 20 - December 20, 2024, 6:00 - 7:00 pm","Irish Step Dance","Darcy May","","9","0","12/20/2024","INACTIVE","12/20/2024",
"15602","Intermediate Irish Dance Level 1, Fridays, September 20 - December 20, 2024, 5:00 - 6:00 pm","Irish Step Dance","Darcy May","","6","0","12/20/2024","INACTIVE","12/20/2024",
"15617","Advanced Irish Dance, Fridays, September 20 - December 20, 2024, 7:00 - 8:00 pm","Irish Step Dance","Darcy May","","3","0","12/20/2024","INACTIVE","12/20/2024",
"15612","Advanced Beginner Irish Dance, Fridays, September 20 - December 20, 2024, 4:00 - 5:00 pm","Irish Step Dance","Darcy May","","11","0","12/20/2024","INACTIVE","12/20/2024",
"15909","FREE - Documentary Screening  - Artist Residency -December 19, 2024 at 6:00 pm","Film Screenings","","","2","0","12/19/2024","INACTIVE","12/19/2024",
"15637","Adult Drawing with Darcy (Ages 15 +) Wednesdays, September 18 - December 18, 2024, 6 - 7 pm","Visual Arts ","Darcy May","","19","0","12/18/2024","INACTIVE","12/18/2024",
"15587","Jazz II (Ages 8 and up) Tuesdays, September 17 - December 17, 2024, 6:30 - 7:30 pm","Dance Classes - Contemporary","Lauren Herrington","","14","0","12/17/2024","INACTIVE","12/17/2024",
"15592","Jazz I (Ages 8 and up) Tuesdays, September 17 - December 17, 2024, 5:30 - 6:30 pm","Dance Classes - Contemporary","Lauren Herrington","","14","0","12/17/2024","INACTIVE","12/17/2024",
"15472","Continuing Drawing With Darcy (Ages 9 - 14) Tuesdays, September 17 - December 17, 2024, 6:30- 7:30pm","Visual Arts ","Darcy May","","8","0","12/17/2024","INACTIVE","12/17/2024",
"15467","Beginner Drawing With Darcy (Ages 9 - 14), Tuesdays, September 17 - December 17, 2024, 5:00 - 6:00pm","Visual Arts ","Darcy May","","5","0","12/17/2024","INACTIVE","12/17/2024",
"15762","Còig - Celtic Music Concert - Sunday, December 15, 2024 at 6pm*SOLD OUT*","Music Performances","","","148","0","12/15/2024","INACTIVE","12/15/2024",
"15502","Intro to Ballet (Ages 5 - 6) Thursdays, September 12 - December 12, 2024, 4:15 - 5:00 pm","Ballet","Lindsay Shaner","","14","0","12/12/2024","INACTIVE","12/12/2024",
"15477","Beginner Irish Step Dance, Thursdays, September 12 - December 12, 6:00 - 7:00 pm","Irish Step Dance","Isabella Knecht","","14","0","12/12/2024","INACTIVE","12/12/2024",
"15497","Ballet 2 (Ages 7 and up) Thursdays: September 12 - December 12, 2024, 5:00 - 6:00 pm","Ballet","Lindsay Shaner","","7","0","12/12/2024","INACTIVE","12/12/2024",
"15487","Ballet 3 (Ages 7 and up) - Wednesdays, September 11 - December 11, 2024, 4:45 - 5:45 pm","Ballet","Lindsay Shaner","","7","0","12/11/2024","INACTIVE","12/11/2024",
"15507","Ballet 1 (Ages 7 and up), Tuesdays, September 10 - December 10, 2024, 4:15 - 5:15 pm","Ballet","Lindsay Shaner","","7","0","12/10/2024","INACTIVE","12/10/2024",
"15622","Teen/Adult Hip Hop (Ages 13 and up) Mondays, September 9 - December 9, 2024, 5:30 - 6:30 pm","Hip Hop ","Sarah Wood ","","5","0","12/09/2024","INACTIVE","12/09/2024",
"15627","Little Hip Hop (Ages 5 - 7) Mondays, September 9 - December 9, 2024, 3:30 - 4:15 pm","Hip Hop ","Sarah Wood ","","14","0","12/09/2024","INACTIVE","12/09/2024",
"15632","Hip Hop 1 (Ages 8 - 12) Mondays, September 9 - December 9, 2024, 4:15 - 5:15 pm","Hip Hop ","Sarah Wood ","","7","0","12/09/2024","INACTIVE","12/09/2024",
"15767","Annual Holiday Breakfast - Our Farming Heritage - Saturday, December 7th at 9am","Community Events","","","79","0","12/07/2024","INACTIVE","12/07/2024",
"15772","Annual Holiday Breakfast - Our Farming Heritage - Saturday, December 7th at 11am","Community Events","","","55","0","12/07/2024","INACTIVE","12/07/2024",
"15452","Rest & Restore Yin Yoga (Ages 16 and up) Mondays, September 9 - November 25, 2024, 5:30 - 6:15 pm","Pilates/Yoga","Jenette Wilkinson ","","18","0","11/25/2024","INACTIVE","11/25/2024",
"15757","Valley Song - A Play with Black Theatre Troupe of Upstate NY - Sunday, November 24th at 2:00 pm","Theater Performances","","","39","0","11/24/2024","INACTIVE","11/24/2024",
"14570","Tap 1 (Ages 7 and up), Saturdays, October 5 - November 23, 2024, 9:45 - 10:30 am","Tap Dance","Lindsay Shaner","","5","0","11/23/2024","INACTIVE","11/23/2024",
"15492","Pre-Ballet (Ages 3 - 4) Saturdays: October 5 - November 23, 2024, 9:00 - 9:45 am","Ballet","Lindsay Shaner","","13","0","11/23/2024","INACTIVE","11/23/2024",
"15747","Valley Song - A Play with Black Theatre Troupe of Upstate NY - Friday, November 22nd at 7:30 pm","Theater Performances","","","54","0","11/22/2024","INACTIVE","11/22/2024",
"16096"," Valley Song - A Play with Black Theatre Troupe of Upstate NY - Friday, November 22nd at 7:30 pm(Cop","Theater Performances","","","0","0","11/22/2024","INACTIVE","11/22/2024",
"16101"," Valley Song - A Play with Black Theatre Troupe of Upstate NY - Friday, November 22nd at 7:30 pm(Cop","Theater Performances","","","0","0","11/22/2024","INACTIVE","11/22/2024",
"16106"," Valley Song - A Play with Black Theatre Troupe of Upstate NY - Friday, November 22nd at 7:30 pm(Cop","Theater Performances","","","0","0","11/22/2024","INACTIVE","11/22/2024",
